@relation data

@attribute Class {DCIC,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,Nerv,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,3,12,5,10,20,11236,108904,491,322,185,530,98001,1315,800,1734,11236,22,19,16,26,781,11,6,34,1745,158,110,407,103383,10033,5852,12520
Fettgewebe,0,4,12,5,10,17,43596,244137,303,253,182,380,229428,976,622,1225,43596,19,18,15,22,1743,3,3,8,12313,325,289,622,822566,48685,23421,75640
Fettgewebe,0,0,7,6,12,82,6519,60375,319,259,167,418,43913,1413,722,7574,6519,22,19,16,25,177,7,4,52,1253,206,113,656,166537,17365,8958,65333
Fettgewebe,0,0,7,5,12,75,40564,89521,427,299,192,476,67025,1211,642,7051,40564,33,26,21,37,148,12,4,42,9824,705,520,20042,1417844,126258,22412,1647320
Fettgewebe,0,0,5,6,13,52,18488,154071,265,225,137,307,133119,97896,68535,232927,18488,37,31,27,41,742,442,338,1447,10370,11646,5758,13707,1407833,832976,324475,3066049
Fettgewebe,0,0,8,7,14,113,7120,41832,513,419,216,730,26989,1237,597,8808,7120,23,21,16,27,209,11,3,88,1925,232,54,1942,103431,20674,5272,90789
Fettgewebe,0,0,2,5,9,16,25896,59885,271,277,122,363,51486,1068,771,8432,25896,28,25,18,33,465,6,5,136,5598,634,361,8432,333070,38043,29573,259720
Gef‰ﬂ,0,28,71,48,110,144,2343,6562,365,393,145,517,1793,962,864,1249,2343,22,21,16,31,12,10,7,15,274,249,216,346,18564,14453,13187,16047
Gef‰ﬂ,0,0,9,10,28,55,5817,319957,504,399,148,557,270474,270474,270474,270474,5817,25,22,18,30,4946,4946,4946,4946,12294,12294,12294,12294,336138,336138,336138,336138
Gef‰ﬂ,0,0,18,24,40,64,2522,100912,383,289,167,405,81498,81498,81498,81498,2522,28,26,21,35,662,662,662,662,2144,2144,2144,2144,131890,131890,131890,131890
Gef‰ﬂ,0,0,16,31,47,73,2003,50096,231,179,112,259,39028,39028,39028,39028,2003,18,19,16,20,587,587,587,587,1626,1626,1626,1626,54021,54021,54021,54021
Gef‰ﬂ,0,8,22,16,29,67,8018,30468,298,271,129,412,22541,30648,1132,38330,8018,23,17,15,33,172,150,6,296,1990,1613,377,3194,192152,60271,33216,206721
Gef‰ﬂ,0,18,51,52,84,118,2769,9819,346,243,204,456,3288,1446,975,2006,2769,23,21,17,28,7,7,3,12,247,121,76,300,69215,20794,6704,34366
Gef‰ﬂ,1,16,35,44,70,100,5753,25315,345,243,165,460,10843,4079,1155,22647,5753,21,22,17,24,20,17,4,29,1091,1155,679,1415,295048,136468,77284,328363
Gef‰ﬂ,0,14,34,34,61,92,5458,38211,283,235,144,390,19760,3811,803,38442,5458,18,17,15,20,43,14,11,43,1243,803,544,1929,467004,177182,69364,337760
Gef‰ﬂ,0,0,2,17,40,81,8213,125934,459,441,266,630,99778,25388,610,273337,8213,22,21,18,25,156,110,5,355,2577,1586,203,5942,826144,182736,11271,2284427
Gef‰ﬂ,0,22,63,27,57,86,2310,3465,373,274,191,644,1747,1632,623,2634,2310,25,17,17,21,14,7,7,8,275,326,194,329,23362,17628,9143,37712
Gef‰ﬂ,0,9,35,27,58,81,3837,17270,257,171,158,371,9953,18018,1888,18018,3837,26,27,20,31,232,431,33,431,1135,2002,269,2002,24656,41767,7546,41767
Gef‰ﬂ,0,13,37,41,63,78,3993,6655,344,339,313,393,3898,2042,1381,8271,3993,22,22,21,23,21,21,13,29,779,408,276,1654,181477,14018,8773,521640
Gef‰ﬂ,0,18,44,76,102,117,2934,14670,319,320,186,452,2333,4070,596,4070,2934,25,21,18,28,13,22,4,22,291,508,74,508,25896,46701,5091,46701
