@relation data

@attribute Class {DCIC,Entz¸ndung,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,5,13,5,10,19,11869,263510,376,231,124,450,241698,2309,1055,19639,11869,31,26,18,37,1948,10,10,186,3336,211,144,677,206793,15915,11014,35581
Fettgewebe,0,4,15,6,12,39,10843,71566,571,381,222,611,56742,4072,609,38022,10843,26,22,18,31,265,46,14,499,3201,4752,407,7515,347863,180732,17833,1183436
Fettgewebe,0,4,23,10,19,69,6821,26800,558,489,214,765,19062,1065,737,4426,6821,27,23,19,31,112,11,6,77,892,152,114,1404,83592,12687,4880,39379
Fettgewebe,0,5,18,6,12,23,12019,72559,361,260,194,455,62583,1111,682,4109,12019,20,18,16,23,200,7,6,10,1039,97,55,197,163582,7219,3991,45777
Fettgewebe,0,1,10,7,13,26,38528,57792,381,439,244,529,50728,7176,2526,190937,38528,33,30,23,39,267,37,13,1013,12056,3588,758,31822,1160876,339554,144629,2998447
Fettgewebe,0,5,13,5,11,20,16872,590520,386,331,128,527,556135,556135,556135,556135,16872,33,28,22,37,5419,5419,5419,5419,24179,24179,24179,24179,1240528,1240528,1240528,1240528
Fettgewebe,0,2,16,7,15,56,13867,45764,241,223,172,298,36532,2262,932,6582,13867,20,20,17,23,40,10,4,15,2691,754,453,1467,1188393,104273,84258,278860
Fettgewebe,0,0,9,7,14,51,39852,190723,299,251,145,348,159495,982,588,2014,39852,21,20,17,22,176,6,4,9,7287,520,343,759,3235751,31257,12763,134808
Fettgewebe,0,5,27,10,18,60,5352,27172,422,296,218,476,19682,1008,922,2526,5352,24,20,16,28,148,5,5,27,743,181,146,515,52064,16999,9413,35893
Fettgewebe,0,7,24,6,15,47,10138,22066,371,295,177,443,17199,1038,658,3039,10138,22,18,16,24,48,8,5,12,917,312,207,553,158135,28301,11592,49985
Fettgewebe,0,6,37,11,22,81,5968,34104,433,373,228,559,21606,1675,646,50295,5968,26,21,18,31,189,14,10,350,1340,837,117,2095,114501,27353,6927,70320
Fettgewebe,0,6,43,11,23,76,3359,24190,350,242,124,540,14893,698,542,2684,3359,25,24,20,28,122,5,3,11,512,281,63,435,43245,13268,5458,43385
Gef‰ﬂ,0,18,51,52,84,118,2769,9819,346,243,204,456,3288,1446,975,2006,2769,23,21,17,28,7,7,3,12,247,121,76,300,69215,20794,6704,34366
Gef‰ﬂ,1,19,45,28,61,114,2385,19080,301,225,169,382,9364,16320,2409,16320,2385,19,18,15,22,33,37,30,37,602,1020,185,1020,114378,221319,7437,221319
Gef‰ﬂ,0,17,62,14,46,87,1602,6008,351,261,141,511,3328,1714,710,3382,1602,29,25,18,29,29,11,6,13,179,143,47,244,12829,15972,4108,25114
Gef‰ﬂ,2,28,64,60,88,111,2101,10021,364,259,184,450,1946,1143,795,1635,2101,22,20,16,27,20,6,4,10,168,89,78,190,12273,9123,6083,14947
Gef‰ﬂ,0,9,31,30,63,96,5582,28207,430,326,215,566,15124,1033,742,2946,5582,24,22,18,28,14,6,3,8,446,206,130,331,212113,26768,11183,104670
Gef‰ﬂ,0,6,21,11,25,60,8137,100443,345,261,132,447,76565,905,636,1409,8137,26,24,18,32,125,6,2,12,703,185,107,327,212202,17225,8823,35792
Gef‰ﬂ,0,14,46,25,76,113,3307,10393,322,320,159,473,4430,4312,852,6745,3307,22,22,17,24,42,21,7,41,559,540,170,757,36114,38841,13765,60277
Gef‰ﬂ,0,0,23,74,113,137,3804,24840,370,265,153,506,5827,1289,844,2666,3804,24,20,17,27,17,8,4,11,330,204,150,411,60199,20767,9751,54406
Gef‰ﬂ,12,30,52,27,56,104,3586,13630,449,421,221,652,6644,6066,1618,11694,3586,23,21,17,26,44,35,13,75,658,404,404,1063,66061,45294,16325,83167
Gef‰ﬂ,1,27,75,12,25,68,2330,10254,263,163,114,276,6449,7367,1257,8767,2330,25,23,20,32,66,58,9,68,388,334,125,584,21017,17996,8224,31345
Gef‰ﬂ,0,20,60,43,79,101,2059,5002,324,241,137,474,1740,654,524,2392,2059,20,19,17,24,11,9,2,13,182,104,74,302,13757,7918,7105,24341
Gef‰ﬂ,0,16,49,29,64,86,2439,6709,315,265,205,449,3419,5851,747,6363,2439,21,19,15,25,39,11,9,137,338,531,124,578,51919,21942,13361,168517
Gef‰ﬂ,0,8,32,50,88,119,4914,13833,383,339,207,454,4630,1169,666,2427,4914,23,20,17,27,14,7,5,17,733,161,133,394,123240,15054,5850,71123
Gef‰ﬂ,4,18,39,76,98,116,3252,19838,414,308,206,587,2928,1760,1073,4161,3252,24,21,18,30,13,13,7,20,278,272,134,414,46248,10970,7440,55588
Gef‰ﬂ,0,16,41,21,50,93,3382,17755,325,292,179,358,9391,14425,2221,19175,3382,22,19,16,25,59,72,13,147,687,801,194,1597,55729,80109,25980,103906
Gef‰ﬂ,0,28,71,48,110,144,2343,6562,365,393,145,517,1793,962,864,1249,2343,22,21,16,31,12,10,7,15,274,249,216,346,18564,14453,13187,16047
Gef‰ﬂ,0,20,51,29,61,84,2112,5913,294,206,199,372,2878,2050,801,3693,2112,22,20,17,29,38,8,5,38,291,292,199,335,22780,12177,10807,13456
Gef‰ﬂ,7,38,90,27,77,112,899,4046,287,198,146,274,1364,1543,1186,1543,899,21,18,16,24,16,17,15,17,151,171,131,171,6389,8310,4468,8310
Gef‰ﬂ,0,9,35,27,58,81,4317,17270,270,282,161,430,9953,18018,1888,18018,4317,26,28,26,32,232,431,33,431,1283,2252,314,2252,27896,46988,8804,46988
Gef‰ﬂ,0,13,37,41,63,78,3993,6655,344,339,313,393,3898,2042,1381,8271,3993,22,22,21,23,21,21,13,29,779,408,276,1654,181477,14018,8773,521640
Gef‰ﬂ,13,33,70,33,59,82,2614,6972,577,663,245,993,3143,3134,1459,4837,2614,23,21,19,33,18,19,11,24,428,391,291,604,41958,53968,11085,60823
Gef‰ﬂ,0,22,63,27,57,86,2310,3465,373,274,191,644,1747,1632,623,2634,2310,25,17,17,21,14,7,7,8,275,326,194,329,23362,17628,9143,37712
Gef‰ﬂ,6,38,69,20,68,103,1754,10529,534,249,113,421,3800,2949,1135,7317,1754,37,26,21,46,28,37,6,41,307,173,141,609,24075,11580,6794,53851
Gef‰ﬂ,0,18,44,76,102,117,2934,14670,319,320,186,452,2333,4070,596,4070,2934,25,21,18,28,13,22,4,22,291,508,74,508,25896,46701,5091,46701
Gef‰ﬂ,0,14,34,34,61,92,5458,38211,283,235,144,390,19760,3811,803,38442,5458,18,17,15,20,43,14,11,43,1243,803,544,1929,467004,177182,69364,337760
Gef‰ﬂ,1,16,35,44,70,100,5753,25315,345,243,165,460,10843,4079,1155,22647,5753,21,22,17,24,20,17,4,29,1091,1155,679,1415,295048,136468,77284,328363
Gef‰ﬂ,0,8,22,16,29,67,8018,30468,298,271,129,412,22541,30648,1132,38330,8018,23,17,15,33,172,150,6,296,1990,1613,377,3194,192152,60271,33216,206721
Gef‰ﬂ,1,24,55,51,101,124,2175,10877,256,229,69,406,2856,3602,2110,3602,2175,20,18,17,25,23,24,22,24,391,422,360,422,23115,26250,19980,26250
Gef‰ﬂ,7,39,88,40,76,108,1181,3248,450,444,158,547,1233,1239,933,2179,1181,23,21,16,23,7,10,5,10,116,112,103,198,11047,13941,4828,20776
Gef‰ﬂ,13,31,70,37,56,80,2273,7956,631,591,475,621,4236,4381,1620,10035,2273,29,27,20,36,17,22,10,28,409,405,365,716,51430,36469,36214,126581
Kalk,65,100,138,108,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,42,77,108,121,138,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,13,47,76,68,122,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,55,83,115,137,180,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,50,81,114,151,174,189,434,0,198,274,108,326,0,0,0,0,434,29,30,29,33,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,90,145,180,98,145,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,116,169,182,106,150,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,118,143,167,98,139,154,1000,0,354,322,96,915,0,0,0,0,1000,28,29,22,46,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,74,118,151,96,149,178,0,4992,0,0,0,0,706,706,706,706,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0
Kalk,99,136,169,160,211,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,109,180,208,92,162,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,68,103,141,141,193,225,3708,14835,1161,1144,936,2272,542,542,542,542,3708,33,34,24,56,3,3,3,3,271,271,271,271,21937,21937,21937,21937
Kalk,45,63,81,136,152,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,27,48,67,118,150,164,3496,0,161,161,161,161,0,0,0,0,3496,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,45,84,102,94,106,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,42,62,84,119,165,181,1311,0,159,162,156,162,0,0,0,0,1311,31,41,22,41,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,23,79,115,39,168,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalk,74,109,144,156,197,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikrokalk,6,16,22,92,98,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Normales Mammaepithel',4,35,101,20,49,84,1824,10446,408,311,195,429,5093,1987,621,11068,1824,22,20,16,25,46,14,4,58,230,105,60,395,22330,8479,3038,26453
'Normales Mammaepithel',0,18,68,54,91,124,1732,11026,353,293,203,404,3379,1336,848,4519,1732,21,19,16,24,14,6,4,17,133,95,83,195,27542,7899,4810,24023
'Normales Mammaepithel',3,26,77,42,79,115,1947,8440,440,405,290,572,3023,1652,957,4419,1947,20,18,16,23,13,13,6,21,173,148,95,244,25429,19389,4383,32257
'Normales Mammaepithel',0,18,75,46,82,117,1918,8272,383,302,186,540,3226,1530,1124,3000,1918,21,19,16,25,11,9,7,14,143,92,73,190,35156,8311,6137,21512
'Normales Mammaepithel',3,31,85,42,87,122,2010,9947,478,450,300,573,3277,1278,686,5690,2010,19,18,16,22,17,10,5,21,199,128,60,327,19652,16084,3865,29342
'Normales Mammaepithel',21,57,109,63,93,118,1239,7124,307,265,176,427,712,756,658,894,1239,20,20,16,21,9,11,7,15,69,89,63,90,3579,2552,2178,7876
'Normales Mammaepithel',0,10,53,48,81,106,2436,18340,475,338,194,593,7510,994,609,1874,2436,23,21,16,28,10,7,5,9,241,78,50,165,119543,5760,2760,14331
'Normales Mammaepithel',6,30,74,30,62,91,2098,19120,382,307,195,453,8080,793,578,4151,2098,20,18,16,22,29,7,3,13,198,79,48,193,25569,7614,3929,17830
'Normales Mammaepithel',4,18,43,19,40,65,3172,27143,359,291,190,406,18761,3365,827,15005,3172,22,20,17,25,140,52,6,263,484,177,91,473,34614,13328,3514,23742
'Normales Mammaepithel',14,51,115,61,97,121,1583,11403,548,332,265,650,1898,1964,1601,2225,1583,25,18,16,26,24,13,10,18,141,117,114,185,9019,6708,2401,13334
Stroma,0,17,43,39,60,82,4073,33750,484,387,229,646,19230,932,727,1328,4073,23,20,17,27,12,5,4,8,207,76,55,176,121537,9004,3696,14708
Stroma,10,29,63,41,62,80,3129,24364,518,393,218,652,11491,898,643,1862,3129,23,20,17,28,11,6,4,9,167,83,47,162,83364,6827,3456,17472
Stroma,0,10,29,31,54,74,7517,93213,386,257,162,465,63997,1114,596,2523,7517,23,20,17,25,67,6,4,8,790,180,88,355,364101,16155,6927,36650
Stroma,0,14,34,27,47,67,10116,65034,513,423,212,669,45967,1447,945,2884,10116,23,21,17,27,78,10,6,18,1298,480,206,1110,302210,45803,11648,60186
Stroma,0,15,40,54,70,88,4123,27659,476,347,204,582,14117,929,679,2277,4123,23,21,17,26,12,5,4,8,282,164,84,220,176094,13334,6536,30742
Stroma,2,14,31,54,68,83,6485,78751,543,462,214,656,43733,2080,933,8711,6485,25,22,19,29,38,9,2,25,927,224,102,967,492423,29570,14401,162378
Stroma,8,27,56,42,61,79,3475,16930,420,327,209,468,8052,1628,730,2664,3475,22,21,17,25,9,6,4,14,317,173,92,325,165938,22296,10338,56822
Stroma,7,26,54,31,57,80,3099,12077,384,260,170,443,5930,1639,718,2474,3099,22,20,16,27,21,7,5,11,277,155,86,255,72296,14938,6988,30498
Stroma,1,16,38,39,62,84,4752,46013,438,321,201,576,26613,1008,583,1649,4752,23,20,17,26,14,6,4,8,409,106,61,183,260787,8902,4957,20287
Stroma,8,23,41,40,58,73,5552,25340,471,383,187,604,14541,937,634,2101,5552,24,21,18,28,12,5,3,11,437,175,96,420,185288,17207,8991,32766
Stroma,0,17,46,39,70,101,3617,22420,444,338,206,536,10370,1154,732,2454,3617,23,20,17,26,10,6,3,10,184,121,72,223,67450,12513,5951,30664
Stroma,3,26,65,57,92,132,2006,9227,654,329,118,605,2880,1416,1233,2644,2006,25,24,19,32,9,5,4,9,328,377,245,393,66331,36170,19676,97547
